diplom,nom_diplome,type_diplome_oraccle,type_diplome_sise
2204939,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204940,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204745,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION ET DE LA FORMATION (MEF),XB,XD
2204461,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION (MEF),XB,XD
2204270,DROIT- ECONOMIE- GESTION : METIERS DE L'EDUCATION ET DE LA FORMATION (MEF),XB,XD
2204621,SCIENCES- TECHNOLOGIES- SANTE : ELECTRONIQUE- ELECTROTECHNIQUE- AUTOMATIQUE,XB,XD
2204805,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE-CHIMIE,XB,XD
2204744,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION ET DE LA FORMATION (MEF),XB,XD
2204583,SCIENCES- TECHNOLOGIES- SANTE : ECOLOGIE- BIODIVERSITE,XB,XD
2204459,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION (MEF),XB,XD
2204806,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE-CHIMIE,XB,XD
2216018,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2216020,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2216191,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2216021,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2216019,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2215830,SCIENCES ET TECHNOLOGIES : STAPS,XB,XD
2204091,SCIENCES- TECHNOLOGIES- SANTE : VIE ET SANTE,XB,XD
2204787,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE ET CHIMIE,XB,XD
2204714,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204451,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATION,XB,XD
2204452,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATIO,XB,XD
2204234,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2204265,DROIT- ECONOMIE- GESTION : GESTION- ECONOMIE ET SCIENCES SOCIALES- METIERS DE L'ENSEIGNEMENT,XB,XD
2204449,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATION,XB,XD
2204902,ARTS- LETTRES- LANGUES : MONDES ANGLOPHONES,XB,XD
2204421,SCIENCES HUMAINES ET SOCIALES : HISTOIRE- ARCHEOLOGIE- HISTOIRE DE L'ART,XB,XD
2204894,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DU VIVANT,XB,XD
2204266,DROIT- ECONOMIE- GESTION : METIERS DE LA FORMATION EN SCIENCES ECONOMIQUES- SOCIALES ET DE GESTION,XB,XD
2204539,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (STAPS),XB,XD
2204453,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATION,XB,XD
2204893,SCIENCES- TECHNOLOGIES- SANTE : VIE ET SANTE,XB,XD
2215850,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215854,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204614,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2204613,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2204274,DROIT- ECONOMIE- GESTION : METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2215567,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2204945,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2215566,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2215568,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2204584,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE- SANTE,XB,XD
2215569,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2204148,SCIENCES HUMAINES ET SOCIALES : DOCUMENT,XB,XD
2215570,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2204841,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DES MATERIAUX ET CHIMIE ORGANIQUE,XB,XD
2204770,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,XB,XD
2204913,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2212925,ECONOMIE- GESTION : THEORIES- HISTOIRE ET METHODES DE L'ECONOMIE (THEME),XB,XD
2225556,ARTS- LETTRES- LANGUES : ARTS PLASTIQUES,XB,XD
2225365,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,XB,XD
2215966,SCIENCES HUMAINES ET SOCIALES : THEORIES- HISTOIRE ET METHODES DE L'ECONOMIE (THEME),XB,XD
2204695,SCIENCES- TECHNOLOGIES- SANTE : INGENIERIES DES FORMATIONS EDUCATIVES- TECHNIQUES ET PROFESSIONNELLES,XB,XD
2204760,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2204624,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET DIFFUSION DES SCIENCES EXPERIMENTALES,XB,XD
2204627,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET DIFFUSION DES SCIENCES EXPERIMENTALES,XB,XD
2204763,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2204762,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2204761,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE- DE LA FORMATION ET DE LA CULTURE,XB,XD
2204696,SCIENCES- TECHNOLOGIES- SANTE : INGENIERIES DES FORMATIONS EDUCATIVES- TECHNIQUES ET PROFESSIONNELLES,XB,XD
2204698,SCIENCES- TECHNOLOGIES- SANTE : INGENIERIES DES FORMATIONS EDUCATIVES- TECHNIQUES ET PROFESSIONNELLES,XB,XD
2204628,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET DIFFUSION DES SCIENCES EXPERIMENTALES,XB,XD
2204425,SCIENCES- TECHNOLOGIES- SANTE : HISTOIRE- PHILOSOPHIE ET DIDACTIQUE DES SCIENCES,XB,XD
2204625,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET DIFFUSION DES SCIENCES EXPERIMENTALES,XB,XD
2204697,SCIENCES- TECHNOLOGIES- SANTE : INGENIERIES DES FORMATIONS EDUCATIVES- TECHNIQUES ET PROFESSIONNELLES,XB,XD
2215851,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215852,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215841,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2216022,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION EN SCIENCES ET TECHNIQUES,XB,XD
2205039,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2216027,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION EN SCIENCES ET TECHNIQUES,XB,XD
2204620,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION EN SCIENCES ET TECHNIQUES,XB,XD
2216025,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION EN SCIENCES ET TECHNIQUES,XB,XD
2215847,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2205040,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2205038,ARTS- LETTRES- LANGUES : ARTS- LETTRES- CIVILISATIONS,XB,XD
2205051,SCIENCES HUMAINES ET SOCIALES : HISTOIRE-GEOGRAPHIE,XB,XD
2204740,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204738,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204742,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204609,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE ET PHYSICOCHIMIE MOLECULAIRES,XB,XD
2204835,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA VIE ET DE LA SANTE,XB,XD
2204578,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET ECOLOGIE POUR LA FORET- L'AGRONOMIE ET L'ENVIRONNEMENT,XB,XD
2204816,SCIENCES- TECHNOLOGIES- SANTE : SANTE PUBLIQUE ET ENVIRONNEMENT,XB,XD
2204663,SCIENCES- TECHNOLOGIES- SANTE : GEOSCIENCES:PLANETES- RESSOURCES ET ENVIRONNEMENT,XB,XD
2204938,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2204470,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2205010,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION,XB,XD
2225367,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET SCIENCES DES TERRITOIRES,XB,XD
2225554,ARTS- LETTRES- LANGUES : ETUDES ANGLOPHONES,XB,XD
2215526,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2216070,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2215478,SCIENCES- TECHNOLOGIES- SANTE : BIOGEOSCIENCES,XB,XD
2205098,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,XB,XD
2205086,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION DE L'ENSEIGNEMENT ET DE LA FORMATION (MEEF),XB,XD
2204446,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION DE L'ENSEIGNEMENT ET DE LA FORMATION (MEEF),XB,XD
2205070,ARTS- LETTRES- LANGUES : LANGUES ET LANGAGES,XB,XD
2204535,SCIENCES HUMAINES ET SOCIALES : STAPS,XB,XD
2205084,SCIENCES HUMAINES ET SOCIALES : HISTOIRE ET HISTOIRE DE L'ART,XB,XD
2204196,ARTS- LETTRES- LANGUES : LANGUES ET LANGAGES,XB,XD
2204247,ARTS- LETTRES- LANGUES : LETTRES ET PHILOSOPHIE,XB,XD
2204834,SCIENCES- TECHNOLOGIES- SANTE : TERRES- PLANETES ET ENVIRONNEMENT,XB,XD
2205085,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION DE L'ENSEIGNEMENT ET DE LA FORMATION (MEEF),XB,XD
2204194,ARTS- LETTRES- LANGUES : LANGUES ET LANGAGES,XB,XD
2204248,ARTS- LETTRES- LANGUES : LETTRES ET PHILOSOPHIE,XB,XD
2204715,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204597,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2215938,SCIENCES HUMAINES ET SOCIALES : PROFESSIONNELS EN ENSEIGNEMENTS PRE-SCOLAIRES- SCOLAIRES ET PERI-SCOLAIRES,XB,XD
2215944,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU SPORT,XB,XD
2225377,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215519,ARTS- LETTRES- LANGUES : LANGUES APPLIQUEES,XB,XD
2216031,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT- EDUCATION ET FORMATION (EEF),XB,XD
2215518,ARTS- LETTRES- LANGUES : LANGUES APPLIQUEES,XB,XD
2215859,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT ET FORMATION PLURIDISCIPLINAIRE EN SCIENCES HUMAINES ET SOCIALES (EFOP),XB,XD
2215539,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2216140,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT,XB,XD
2216063,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET INTERACTIONS,XB,XD
2225524,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2215517,ARTS- LETTRES- LANGUES : LANGUES APPLIQUEES,XB,XD
2216036,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT- FORMATION ET TECHNOLOGIES INNOVANTES EN SCIENCES PHYSIQUES (EFTIS),XB,XD
2204481,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE ET ENSEIGNEMENT DE LA PHILOSOPHIE,XB,XD
2215520,ARTS- LETTRES- LANGUES : LANGUES APPLIQUEES,XB,XD
2215777,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT ET FORMATION PLURIDISCIPLINAIRE EN SCIENCES HUMAINES ET SOCIALES (EFOP),XB,XD
2216013,SCIENCES- TECHNOLOGIES- SANTE : CULTURE SCIENTIFIQUE ET TECHNOLOGIQUE,XB,XD
2216030,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT- EDUCATION ET FORMATION (EEF),XB,XD
2215710,DROIT- ECONOMIE- GESTION : METIERS DE L'ENSEIGNEMENT EN ECONOMIE ET MANAGEMENT DES ORGANISATIONS,XB,XD
2216035,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT- FORMATION ET TECHNOLOGIES INNOVANTES EN SCIENCES PHYSIQUES (EFTIS),XB,XD
2200609,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XD,XB
2216190,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2220056,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'EDUCATION,XD,XB
2204507,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2205365,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2216143,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA TERRE ET ENVIRONNEMENT- ECOLOGIE,XD,XB
2202068,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'EDUCATION,XD,XB
2215879,SCIENCES HUMAINES ET SOCIALES-SCIENCES- TECHNOLOGIES- SANTE : INFORMATION-DOCUMENTATION-COMMUNICATION,XD,XB
2204881,SCIENCES- TECHNOLOGIES- SANTE : STAPS,XD,XB
2204213,ARTS- LETTRES- LANGUES : LETTRES,XD,XB
2204512,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2205108,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2204508,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2204509,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2204498,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU LANGAGE,XD,XB
2215849,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XD,XB
2225362,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XD,XB
2203774,SCIENCES HUMAINES ET SOCIALES : EDUCATION- TRAVAIL ET FORMATION,XD,XB
2203775,SCIENCES HUMAINES ET SOCIALES : EDUCATION- TRAVAIL ET FORMATION,XD,XB
2205032,SCIENCES HUMAINES ET SOCIALES : EDUCATION- TRAVAIL ET FORMATION,XD,XB
2215910,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION DE L'ENSEIGNEMENT ET DE LA FORMATION,XD,XB
6000833,INGENIEUR DIPLOME DE TELECOM PHYSIQUE STRASBOURG DE L'UNIVERSITE DE STRASBOURG- SPECIALITE TECHNOLOGIES DE L'INFORMATION POUR LA SANTE,FN,FI
9036628,HDR EN GEOGRAPHIE - BAC+6 ET PLUS,33,03
2205883,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XD,XB
2225953,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XD,XB
2206724,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2206720,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2206722,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
2206721,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XD,XB
8000054,DIPLOME UNIV MUSICIEN INTERVENANT,03,UC
9131107,DIPLOME UNIVERSITE-3EME CYCLE-MEDECINE,13,01
8000160,DIPLOME D'ETABLISSEMENT ETUDIANT-ENTREPRENEUR (D2E),01,UA
5000603,MEDECINE GENERALE,IX,JD
8000094,DIPLOME DU COLLEGE UNIVERSITAIRE DE SCIENCES PO,UO,UP
9010629,DIPLOMES D'UNIVERSITE EN AMENAGEMENT - BAC A BAC+6 ET PLUS,11,01
2101400,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SC DES APS OU ARTISTIQUES ET INTERVENTION,99,XA
2101395,SCIENCES HUMAINES ET SOCIALES : AMENAGEMENT ET GEOGRAPHIE,99,XA
9094442,AUTRES DIPLOMES EN MATHEMATIQUES ET INFORMATIQUE - BAC+4,60,09
9094462,AUTRES DIPLOMES EN PLURI SCIENCES ECONOMIQUES - GESTION - BAC+4,60,09
6000976,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DES MINES DE NANCY DE L'UNIVERSITE DE LORRAINE- SPECIALITE GENIE MECANIQUE,FI,FN
2300036,SCIENCES DE LA VIE,FE,XA
2400310,GESTION DES ORGANISATIONS DE L'ECONOMIE SOCIALE ET SOLIDAIRE,DP,DL
